Fichier, Temps Naif (µs), Temps Welzl (µs)
test-203.points, 113590, 25
test-204.points, 97344, 26
test-205.points, 89540, 20
test-206.points, 115912, 12
test-207.points, 86857, 16
test-208.points, 105646, 18
test-209.points, 109949, 21
test-21.points, 94928, 14
test-210.points, 93899, 22
test-211.points, 108868, 20
test-212.points, 118659, 28
test-213.points, 104243, 19
test-214.points, 102604, 24
test-215.points, 91904, 41
test-216.points, 117176, 23
test-217.points, 118155, 19
test-218.points, 89733, 19
test-219.points, 109348, 28
test-22.points, 134834, 21
test-220.points, 93432, 24
test-221.points, 105181, 32
test-222.points, 114426, 16
test-223.points, 93813, 43
test-224.points, 114330, 43
test-225.points, 115229, 28
test-226.points, 95626, 25
test-227.points, 120174, 38
test-228.points, 109660, 25
test-229.points, 101468, 12
test-23.points, 117220, 29
test-230.points, 96583, 20
test-231.points, 86312, 19
test-232.points, 97651, 10
test-233.points, 84345, 9
test-234.points, 102848, 16
test-235.points, 112498, 20
test-236.points, 104977, 10
test-237.points, 85054, 14
test-238.points, 122226, 28
test-239.points, 136088, 25
test-24.points, 97609, 36
test-240.points, 110283, 20
test-241.points, 98532, 39
test-242.points, 85958, 17
test-243.points, 103908, 35
test-244.points, 140223, 23
test-245.points, 109190, 19
test-246.points, 118181, 17
test-247.points, 95708, 12
test-248.points, 97398, 12
test-249.points, 118940, 19
test-25.points, 112907, 23
test-250.points, 118587, 26
test-251.points, 102395, 20
test-252.points, 104864, 29
test-253.points, 120281, 21
test-254.points, 108616, 24
test-255.points, 107138, 26
test-256.points, 105679, 31
test-257.points, 108952, 22
test-258.points, 121160, 32
test-259.points, 107520, 30
test-26.points, 99268, 35
test-260.points, 105560, 22
test-261.points, 95598, 16
test-262.points, 106543, 30
test-263.points, 115264, 40
test-264.points, 134202, 38
test-265.points, 115738, 24
test-266.points, 108771, 16
test-267.points, 94839, 39
test-268.points, 112107, 18
test-269.points, 94187, 37
test-27.points, 114488, 17
test-270.points, 113039, 35
test-271.points, 125748, 21
test-272.points, 91896, 42
test-273.points, 102663, 12
